CMDLINE /Users/mac/Documents/challenge_DE/venv/bin/python3.8 src/q1_memory.py
MEM 0.187500 1720399570.7583
MEM 32.296875 1720399570.8635
MEM 44.515625 1720399570.9686
MEM 44.609375 1720399571.0720
MEM 44.609375 1720399571.1771
MEM 44.609375 1720399571.2822
MEM 44.625000 1720399571.3847
MEM 44.625000 1720399571.4897
MEM 44.625000 1720399571.5948
MEM 44.625000 1720399571.6999
MEM 44.703125 1720399571.8049
MEM 44.703125 1720399571.9100
MEM 44.703125 1720399572.0151
MEM 44.718750 1720399572.1202
MEM 44.734375 1720399572.2252
MEM 44.781250 1720399572.3303
MEM 44.781250 1720399572.4354
MEM 44.812500 1720399572.5361
MEM 44.812500 1720399572.6412
MEM 44.812500 1720399572.7462
MEM 44.812500 1720399572.8513
MEM 44.812500 1720399572.9526
MEM 44.812500 1720399573.0577
MEM 44.812500 1720399573.1627
MEM 44.812500 1720399573.2678
MEM 44.812500 1720399573.3680
MEM 44.812500 1720399573.4731
MEM 44.812500 1720399573.5782
MEM 44.812500 1720399573.6832
MEM 44.812500 1720399573.7848
MEM 44.859375 1720399573.8898
MEM 44.906250 1720399573.9949
MEM 44.906250 1720399574.0999
MEM 44.906250 1720399574.2050
MEM 44.906250 1720399574.3060
MEM 44.906250 1720399574.4111
MEM 44.906250 1720399574.5161
MEM 44.906250 1720399574.6212
MEM 44.906250 1720399574.7263
MEM 44.937500 1720399574.8313
MEM 44.937500 1720399574.9364
MEM 44.937500 1720399575.0415
MEM 44.937500 1720399575.1465
MEM 44.937500 1720399575.2514
MEM 44.937500 1720399575.3536
MEM 44.937500 1720399575.4586
MEM 44.937500 1720399575.5637
MEM 44.937500 1720399575.6687
MEM 44.937500 1720399575.7738
MEM 44.937500 1720399575.8789
MEM 44.937500 1720399575.9840
MEM 44.937500 1720399576.0891
MEM 44.937500 1720399576.1942
MEM 44.937500 1720399576.2993
MEM 44.937500 1720399576.4014
MEM 44.937500 1720399576.5065
MEM 44.937500 1720399576.6115
