CMDLINE /Users/mac/Documents/challenge_DE/venv/bin/python3.8 src/q1_time.py
MEM 0.203125 1720400391.5950
MEM 31.078125 1720400391.7003
MEM 48.359375 1720400391.8017
MEM 60.546875 1720400391.9044
MEM 61.015625 1720400392.0095
MEM 61.015625 1720400392.1147
MEM 61.015625 1720400392.2175
MEM 61.015625 1720400392.3227
MEM 61.015625 1720400392.4278
MEM 61.015625 1720400392.5307
MEM 61.015625 1720400392.6443
MEM 61.015625 1720400392.7446
MEM 61.015625 1720400392.8488
MEM 61.015625 1720400392.9542
MEM 61.015625 1720400393.0572
MEM 61.015625 1720400393.1625
MEM 61.015625 1720400393.2654
MEM 61.015625 1720400393.3707
MEM 61.015625 1720400393.4759
MEM 61.015625 1720400393.5811
MEM 61.015625 1720400393.6866
MEM 61.015625 1720400393.7922
MEM 61.015625 1720400393.8977
MEM 61.015625 1720400394.0032
MEM 61.015625 1720400394.1087
MEM 61.015625 1720400394.2107
MEM 61.015625 1720400394.3156
MEM 61.015625 1720400394.4199
MEM 61.015625 1720400394.5254
MEM 61.015625 1720400394.6291
MEM 61.015625 1720400394.7335
MEM 61.015625 1720400394.8392
MEM 61.015625 1720400394.9401
MEM 61.015625 1720400395.0457
MEM 61.015625 1720400395.1512
MEM 61.015625 1720400395.2540
MEM 61.015625 1720400395.3593
MEM 61.015625 1720400395.4644
MEM 61.015625 1720400395.5696
MEM 61.015625 1720400395.6748
MEM 61.015625 1720400395.7802
MEM 61.015625 1720400395.8824
MEM 61.015625 1720400395.9828
MEM 61.015625 1720400396.0883
MEM 61.015625 1720400396.1936
MEM 61.015625 1720400396.2986
MEM 61.015625 1720400396.4037
MEM 61.015625 1720400396.5089
MEM 61.015625 1720400396.6143
MEM 61.015625 1720400396.7198
MEM 61.015625 1720400396.8254
MEM 61.015625 1720400396.9314
MEM 61.015625 1720400397.0370
MEM 61.015625 1720400397.1387
MEM 61.015625 1720400397.2422
MEM 61.015625 1720400397.3428
MEM 61.015625 1720400397.4483
MEM 61.015625 1720400397.5525
MEM 61.015625 1720400397.6577
MEM 61.015625 1720400397.7629
MEM 61.015625 1720400397.8645
MEM 61.015625 1720400397.9654
MEM 61.375000 1720400398.0669
MEM 61.375000 1720400398.1721
MEM 61.375000 1720400398.2773
MEM 61.375000 1720400398.3825
MEM 61.375000 1720400398.4878
MEM 61.375000 1720400398.5905
MEM 61.437500 1720400398.6956
MEM 61.437500 1720400398.8007
MEM 61.437500 1720400398.9059
MEM 61.453125 1720400399.0110
MEM 61.453125 1720400399.1133
MEM 61.453125 1720400399.2185
MEM 61.453125 1720400399.3236
MEM 61.453125 1720400399.4286
MEM 61.453125 1720400399.5323
MEM 61.453125 1720400399.6376
MEM 61.453125 1720400399.7423
MEM 61.453125 1720400399.8473
MEM 61.453125 1720400399.9525
MEM 61.453125 1720400400.0550
MEM 61.453125 1720400400.1602
MEM 61.453125 1720400400.2653
MEM 61.453125 1720400400.3667
MEM 61.453125 1720400400.4669
MEM 61.453125 1720400400.5738
MEM 61.453125 1720400400.6790
MEM 61.453125 1720400400.7795
MEM 61.453125 1720400400.8834
MEM 61.453125 1720400400.9887
MEM 61.453125 1720400401.0939
MEM 61.453125 1720400401.1992
MEM 61.453125 1720400401.3000
MEM 61.453125 1720400401.4020
MEM 61.453125 1720400401.5073
MEM 61.453125 1720400401.6120
MEM 61.453125 1720400401.7123
MEM 61.453125 1720400401.8176
MEM 61.453125 1720400401.9201
MEM 61.468750 1720400402.0248
MEM 61.468750 1720400402.1300
MEM 61.515625 1720400402.2352
MEM 61.781250 1720400402.3403
MEM 61.781250 1720400402.4456
MEM 61.781250 1720400402.5508
MEM 61.781250 1720400402.6526
MEM 61.781250 1720400402.7577
MEM 61.781250 1720400402.8629
MEM 61.781250 1720400402.9647
MEM 61.781250 1720400403.0699
MEM 61.781250 1720400403.1721
MEM 61.781250 1720400403.2765
MEM 61.781250 1720400403.3817
MEM 61.781250 1720400403.4840
MEM 61.781250 1720400403.5845
MEM 61.781250 1720400403.6898
MEM 61.781250 1720400403.7940
MEM 61.781250 1720400403.9010
MEM 61.781250 1720400404.0061
MEM 61.781250 1720400404.1091
MEM 61.781250 1720400404.2099
MEM 61.781250 1720400404.3152
MEM 61.781250 1720400404.4186
MEM 61.781250 1720400404.5239
MEM 61.781250 1720400404.6293
MEM 61.781250 1720400404.7314
MEM 61.781250 1720400404.8360
MEM 61.781250 1720400404.9409
MEM 61.781250 1720400405.0461
MEM 61.781250 1720400405.1513
MEM 61.781250 1720400405.2566
MEM 61.781250 1720400405.3571
MEM 61.781250 1720400405.4592
MEM 61.781250 1720400405.5613
MEM 61.781250 1720400405.6648
MEM 61.781250 1720400405.7700
MEM 61.781250 1720400405.8753
MEM 61.781250 1720400405.9830
MEM 61.781250 1720400406.0841
MEM 61.781250 1720400406.1879
MEM 61.781250 1720400406.2885
MEM 61.781250 1720400406.3912
MEM 61.781250 1720400406.4953
MEM 61.781250 1720400406.6005
MEM 61.781250 1720400406.7018
MEM 61.796875 1720400406.8071
MEM 61.843750 1720400406.9123
MEM 61.843750 1720400407.0170
MEM 61.843750 1720400407.1220
MEM 61.828125 1720400407.2228
